العيار,شراء,بيع,,"آخر تحديث: 4/26/2026, 11:13:23 PM",,,,,,,,,,,,,,,,,,,,,
عيار 24,8٬017,7٬971,,,,,,,,,,,,,,,,,,,,,,,
عيار 21,7٬015,6٬975,,,,,,,,,,,,,,,,,,,,,,,
عيار 18,6٬013,5٬979,,,,,,,,,,,,,,,,,,,,,,,
عيار 14,4٬677,4٬650,,,,,,,,,,,,,,,,,,,,,,,
جنيه ذهب,56٬560,55٬992,,,,,,,,,,,,,,,,,,,,,,,
أونصة,251٬292,248٬782,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
52٫66,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,52٫71
